Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,FaultBus,SampleCount,ExactBusAccuracy,GraphDistanceMAE,MajorConfusionBus,MajorConfusionCount
ieee30,RandomForest,SpatialOnly,3,6;1;2,360,180,8,10,36,0.4722222222222222,2.111111111111111,30,19
ieee30,RandomForest,SpatialOnly,3,6;1;2,360,180,8,24,36,0.0,2.5833333333333335,30,21
ieee30,RandomForest,SpatialOnly,3,6;1;2,360,180,8,30,36,0.75,0.8611111111111112,24,5
ieee30,ExtraTrees,Baseline,5,6;1;2;3;4,360,180,40,1,36,0.75,1.25,30,9
ieee30,ExtraTrees,Baseline,5,6;1;2;3;4,360,180,40,6,36,0.0,3.0,30,36
ieee30,ExtraTrees,Baseline,5,6;1;2;3;4,360,180,40,10,36,0.75,1.0,30,9
ieee30,ExtraTrees,Baseline,5,6;1;2;3;4,360,180,40,24,36,0.75,0.75,30,9
ieee30,ExtraTrees,Baseline,5,6;1;2;3;4,360,180,40,30,36,1.0,0.0,-1,0
ieee30,RandomForest,Baseline,5,6;1;2;3;4,360,180,40,1,36,0.75,1.25,30,9
ieee30,RandomForest,Baseline,5,6;1;2;3;4,360,180,40,6,36,0.0,3.0,30,36
ieee30,RandomForest,Baseline,5,6;1;2;3;4,360,180,40,10,36,0.75,1.0,30,9
ieee30,RandomForest,Baseline,5,6;1;2;3;4,360,180,40,24,36,0.75,0.75,30,9
ieee30,RandomForest,Baseline,5,6;1;2;3;4,360,180,40,30,36,1.0,0.0,-1,0
ieee30,ExtraTrees,Baseline+NormVI,5,6;1;2;3;4,360,180,44,1,36,1.0,0.0,-1,0
ieee30,ExtraTrees,Baseline+NormVI,5,6;1;2;3;4,360,180,44,6,36,1.0,0.0,-1,0
ieee30,ExtraTrees,Baseline+NormVI,5,6;1;2;3;4,360,180,44,10,36,0.75,0.8888888888888888,30,7
ieee30,ExtraTrees,Baseline+NormVI,5,6;1;2;3;4,360,180,44,24,36,0.9722222222222222,0.08333333333333333,30,1
ieee30,ExtraTrees,Baseline+NormVI,5,6;1;2;3;4,360,180,44,30,36,0.9722222222222222,0.08333333333333333,24,1
ieee30,RandomForest,Baseline+NormVI,5,6;1;2;3;4,360,180,44,1,36,1.0,0.0,-1,0
ieee30,RandomForest,Baseline+NormVI,5,6;1;2;3;4,360,180,44,6,36,1.0,0.0,-1,0
